RHUID, HousingCategory, Location, StayPeriod, CostPerBed, Capacity, EmergencyCapacity, ShortTermBeds, Address, Phone, Email, Contact, ManagementGroup, Gender, Licensees, SuitableForSexOffenders, NighttimeCurfew, WeekendCurfew, MedicalServiceAccess, TransportLinks, CulturalReligeousServices, MentalHealthSuitable, Employment, FamilyAccess, FutureExpansion1, FutureExpansion2, FutureExpansion3, StudentSuggested1, StudentSuggested2, Notes, 
108, D, X2804Y8179, 365, 71.90, 28, 69, 8, Flat 04Annette PinesLake GeraldineS4J 2FD, 7190512, RHU108@email.com, Mr Paul North, [], Mixed, [], False, False, False, False, Rail + Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
109, C, X5417Y9645, 180, 86.19, 28, 42, 9, 51 Carter StravenueNew MalcolmWS6A 4SR, 5209167, RHU109@email.com, Jack Young, [], Female, [], False, True, True, False, Rail, Prayer room, False, False, True, [], [], [], [], [], [], 
110, B, X3660Y5641, 180, 23.92, 28, 59, 8, 8 Anne PortsWest JoshuaSP8Y 4YU, 8036609, RHU110@email.com, Iain O'Neill, [], Female, [], False, True, True, False, Bus, Prayer room, False, True, True, [], [], [], [], [], [], 
111, A, X5656Y5723, 90, 92.31, 28, 48, 3, 99 Martyn BridgeAnnettefortE71 4QP, 5439409, RHU111@email.com, Sylvia Dyer, [], Male, [], False, True, True, True, Rail, None, False, False, True, [], [], [], [], [], [], 
112, A, X7100Y6100, 90, 46.61, 28, 71, 6, 989 Martin RapidNorth LisaPL7N 0ZJ, 7731954, RHU112@email.com, Eric Harrison-O'Neill, [], Mixed, [], False, True, True, True, Bus, Prayer room, False, True, False, [], [], [], [], [], [], 
113, A, X2298Y4125, 365, 55.55, 28, 44, 4, 4 Bennett ForgesLake HilarychesterRH9Y 2UZ, 5813658, RHU113@email.com, Kelly Richardson, [], Male, [], True, True, True, False, Bus, Chapel, False, False, True, [], [], [], [], [], [], 
114, B, X130Y5420, 90, 62.61, 28, 38, 3, Flat 72kDale CourtsAtkinsonfurtNE8 8QQ, 3467662, RHU114@email.com, Edward Jordan, [], Female, [], False, False, False, False, Rail, Prayer room, True, False, False, [], [], [], [], [], [], 
115, D, X8581Y66, 365, 77.71, 28, 38, 2, 585 Denise CampSmithboroughFY30 0NL, 8179187, RHU115@email.com, Mandy Robinson, [], Mixed, [], False, False, False, False, None, Prayer room, False, True, True, [], [], [], [], [], [], 
116, A, X7196Y7851, 90, 45.1, 28, 64, 9, 96 Khan MountainsWest TomN3D 0UJ, 4414595, RHU116@email.com, Louise Taylor, [], Male, [], True, True, True, True, None, None, True, False, True, [], [], [], [], [], [], 
117, C, X4957Y7464, 180, 48.97, 28, 74, 1, 6 Diane ForksNorth MitchellTQ66 9NB, 7633679, RHU117@email.com, Ronald Long-Fowler, [], Mixed, [], True, True, False, True, None, None, False, False, False, [], [], [], [], [], [], 
118, B, X2916Y795, 180, 39.48, 28, 48, 8, Studio 5Bradley LocksJohnboroughDL7H 0GY, 5086404, RHU118@email.com, Denis Richards, [], Mixed, [], True, True, False, True, Rail + Bus, Chapel, True, True, True, [], [], [], [], [], [], 
119, D, X5079Y9177, 60, 11.50, 28, 71, 4, 247 Benson OrchardPort AnnemouthTW71 3UX, 5256772, RHU119@email.com, Sophie White, [], Mixed, [], True, False, False, True, Rail + Bus, Prayer room, False, True, True, [], [], [], [], [], [], 
120, C, X4602Y8801, 60, 77.31, 28, 77, 4, 3 Clark HarborsPort VincentmouthS9 4BB, 1268913, RHU120@email.com, Josephine Donnelly, [], Female, [], True, True, False, False, Rail, Chapel, True, False, True, [], [], [], [], [], [], 
121, C, X4482Y9862, 365, 69.37, 28, 65, 2, 61 Stuart CliffO'BriensideE9F 8SH, 9074761, RHU121@email.com, Roger Bennett, [], Female, [], False, True, False, True, Bus, Chapel + Prayer room, False, True, True, [], [], [], [], [], [], 
122, D, X5063Y2710, 60, 60.13, 28, 64, 8, Flat 79Amy CampNew JessicaS73 2JR, 9839056, RHU122@email.com, Beverley Harrison, [], Mixed, [], True, True, True, False, Bus, None, False, False, False, [], [], [], [], [], [], 
123, C, X7701Y418, 180, 86.8, 28, 71, 6, Studio 3Jordan CentersWest TomWD2W 2TG, 3596539, RHU123@email.com, Owen Oliver, [], Female, [], False, False, False, True, None, Prayer room, False, True, True, [], [], [], [], [], [], 
124, B, X7605Y3874, 365, 86.25, 28, 44, 5, 721 Damien TraceSouth LynnevilleE19 3RN, 3052127, RHU124@email.com, Martin Preston, [], Mixed, [], True, False, False, True, Rail, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
125, B, X2081Y7966, 60, 47.18, 28, 64, 8, Flat 61cBruce CenterRachaelfurtE0 8DX, 7164488, RHU125@email.com, Elizabeth Patterson, [], Male, [], True, False, True, False, Bus, Chapel, True, False, False, [], [], [], [], [], [], 
126, A, X5678Y1816, 60, 90.47, 28, 60, 5, Studio 21Liam FallJasmineburySL16 6ED, 6180575, RHU126@email.com, Dr Rhys Moss, [], Male, [], True, False, True, False, Rail + Bus, Chapel, True, True, True, [], [], [], [], [], [], 
127, D, X2335Y1854, 90, 60.11, 28, 69, 3, 85 Evans RapidsMelaniefortS4 4YX, 9726081, RHU127@email.com, Russell Davies-Owen, [], Male, [], False, False, False, False, Rail + Bus, None, True, False, True, [], [], [], [], [], [], 
128, C, X4158Y3998, 180, 33.43, 28, 69, 10, Flat 82xChapman LoafNorth ShaneburySL2 4LU, 3489049, RHU128@email.com, Christian Farrell-Roberts, [], Mixed, [], True, True, False, True, Rail + Bus, None, False, False, False, [], [], [], [], [], [], 
129, A, X351Y3311, 60, 16.84, 28, 66, 1, 600 Martyn CovesJacksonfurtG7D 8XH, 2553794, RHU129@email.com, Caroline Norton, [], Male, [], False, False, True, True, Bus, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
130, D, X8101Y3676, 60, 24.24, 28, 43, 1, Flat 80UJackson GatewayAlextonBR66 9PW, 8548260, RHU130@email.com, Ms Jodie Sullivan, [], Mixed, [], True, False, False, True, None, None, False, True, True, [], [], [], [], [], [], 
131, C, X3833Y1782, 365, 29.5, 28, 58, 6, Studio 15Amber VillageMatthewsvilleTN5 0YR, 7811710, RHU131@email.com, Miss Kelly James, [], Female, [], True, True, False, False, Rail, Prayer room, True, True, True, [], [], [], [], [], [], 
132, B, X9659Y5074, 60, 93.91, 28, 44, 2, Studio 7Valerie BurgSouth GeraldWV46 0UG, 5351750, RHU132@email.com, Susan Cunningham, [], Mixed, [], True, True, True, True, Rail + Bus, Chapel + Prayer room, False, True, False, [], [], [], [], [], [], 
133, A, X3427Y3035, 90, 69.42, 28, 78, 3, 347 Porter PointRussellsideL2 1BE, 6403732, RHU133@email.com, Jason Richardson-Wright, [], Female, [], False, True, False, False, Rail + Bus, Chapel, False, True, True, [], [], [], [], [], [], 
134, C, X5909Y2276, 60, 72.76, 28, 54, 8, Flat 7Albert StreetAmbertownSN0R 2BW, 5699081, RHU134@email.com, Terence Harrison, [], Female, [], False, True, True, True, Rail + Bus, Chapel, False, False, False, [], [], [], [], [], [], 
135, D, X1209Y4522, 365, 68.35, 28, 75, 7, 59 Godfrey EstatesAmandashireE07 1JA, 9695615, RHU135@email.com, Amy Holland-Wood, [], Mixed, [], True, False, True, True, Bus, None, False, False, True, [], [], [], [], [], [], 
136, B, X8124Y6179, 60, 38.96, 28, 77, 6, Studio 2Green CovesEileenburyWC78 9BL, 2793496, RHU136@email.com, Marie Collins, [], Mixed, [], False, False, True, True, Rail, None, True, True, False, [], [], [], [], [], [], 
137, C, X4709Y6397, 365, 13.27, 28, 75, 8, Studio 94RChadwick ForksGerardmouthW1S 6NQ, 9198111, RHU137@email.com, Ms Alexandra Williams, [], Female, [], False, True, True, True, None, Prayer room, True, True, True, [], [], [], [], [], [], 
138, A, X6050Y6169, 60, 20.4, 28, 52, 4, 10 Connor MillSouth KevinportW8D 4XD, 4540580, RHU138@email.com, Simon Hayes-Bryan, [], Male, [], True, False, True, True, Bus, Prayer room, True, True, False, [], [], [], [], [], [], 
139, C, X1075Y8648, 90, 57.63, 28, 42, 1, 0 Walters IslandsPort CharlottevilleFK1 0AH, 9395038, RHU139@email.com, Mrs Suzanne Walton, [], Female, [], True, False, False, True, Bus, None, False, True, False, [], [], [], [], [], [], 
140, D, X943Y924, 180, 30.15, 28, 74, 1, 041 Brown WellStoreyburghGU1X 3TB, 3368648, RHU140@email.com, Dr Andrew Jones, [], Male, [], False, False, False, True, None, None, False, True, True, [], [], [], [], [], [], 
141, A, X6710Y9712, 60, 100.84, 28, 72, 2, Flat 1Nicole ValleyLake FrancisburyM99 1FX, 3947286, RHU141@email.com, Mr Graham Hughes, [], Male, [], False, True, True, True, Rail + Bus, Chapel, False, False, True, [], [], [], [], [], [], 
142, C, X2999Y3805, 180, 89.68, 28, 69, 2, 08 James PlazaPort BenAB4N 8EB, 8865943, RHU142@email.com, Frank Thompson, [], Male, [], False, True, False, False, Bus, Chapel, False, False, True, [], [], [], [], [], [], 
143, C, X5910Y1038, 60, 12.1, 28, 66, 5, Studio 59Frank WalksSouth JulianE3 8TP, 2858541, RHU143@email.com, Mrs Rebecca Williams, [], Mixed, [], True, True, False, False, None, Chapel, True, False, False, [], [], [], [], [], [], 
144, A, X4335Y3666, 180, 13.44, 28, 74, 8, Studio 63Kimberley VillageEast KellyB72 7NT, 8302695, RHU144@email.com, Hazel Buckley, [], Mixed, [], True, False, False, True, None, None, True, True, False, [], [], [], [], [], [], 
145, D, X763Y8253, 365, 97.53, 28, 50, 9, 563 Watson TurnpikeNew LeonardWC6P 4JS, 3346953, RHU145@email.com, Kerry Mitchell, [], Female, [], True, True, False, True, None, Chapel, False, False, True, [], [], [], [], [], [], 
146, D, X3044Y1957, 180, 60.90, 28, 60, 8, Flat 64Abigail RowPort DylanstadN0 8WN, 6131518, RHU146@email.com, Clifford Daniels-Gibbons, [], Mixed, [], True, False, False, False, None, None, True, True, False, [], [], [], [], [], [], 
147, D, X4311Y828, 180, 32.77, 28, 68, 1, Flat 88YAbdul AlleyNorth KellytownNP02 8RE, 6213038, RHU147@email.com, Nicola Lawrence, [], Female, [], False, True, True, False, Rail + Bus, Prayer room, True, False, False, [], [], [], [], [], [], 
148, A, X492Y7061, 365, 81.52, 28, 42, 3, Studio 87WJones SquaresPricetonB0B 2WE, 6141688, RHU148@email.com, Iain Powell, [], Male, [], False, True, False, True, Bus, None, True, True, False, [], [], [], [], [], [], 
149, D, X2896Y8980, 365, 73.62, 28, 53, 3, 2 Jones FerryPort RichardLD6M 3PT, 1343885, RHU149@email.com, Chelsea Cook-Baker, [], Mixed, [], True, True, False, False, Rail, Chapel, False, True, False, [], [], [], [], [], [], 
150, D, X8426Y7617, 180, 44.50, 28, 62, 1, 6 Scott RiverDeclanchesterW6C 3HH, 6538559, RHU150@email.com, Mr Timothy Ford, [], Male, [], False, False, True, True, Rail + Bus, None, True, False, False, [], [], [], [], [], [], 
151, B, X4068Y981, 180, 34.11, 28, 71, 8, Studio 28KLaura PointsWest AmeliaL4 9UN, 8458471, RHU151@email.com, Antony Wall, [], Mixed, [], True, False, True, True, Bus, Prayer room, False, True, True, [], [], [], [], [], [], 
152, D, X2884Y7508, 365, 100.63, 28, 58, 4, Studio 51Wood PortWattshavenM54 2JL, 5426188, RHU152@email.com, Bethan Martin, [], Male, [], True, False, True, False, Rail, Chapel + Prayer room, False, True, True, [], [], [], [], [], [], 
153, C, X6778Y3247, 180, 97.84, 28, 45, 9, Studio 28Geoffrey InletLisaboroughN52 1YU, 9333592, RHU153@email.com, Edward Scott, [], Mixed, [], True, False, False, True, Rail + Bus, None, False, False, False, [], [], [], [], [], [], 
154, D, X7455Y4092, 180, 81.9, 28, 49, 6, 85 Miller ForgeCookbergCR2Y 8SJ, 2245314, RHU154@email.com, Dr Shane Short, [], Male, [], False, True, True, True, Bus, Chapel, True, False, True, [], [], [], [], [], [], 
155, D, X7329Y330, 90, 39.56, 28, 55, 6, Studio 47nWood LandingTaylorportG6 9FW, 4697506, RHU155@email.com, Benjamin Richards, [], Female, [], False, True, True, False, Bus, Prayer room, False, False, False, [], [], [], [], [], [], 
156, B, X3732Y3847, 180, 70.77, 28, 56, 8, Studio 84ZJoyce IslePatelhavenE0W 7LN, 9735645, RHU156@email.com, Miss Lesley Martin, [], Mixed, [], True, False, True, False, Rail + Bus, Chapel + Prayer room, False, True, False, [], [], [], [], [], [], 
157, A, X2961Y1652, 90, 40.96, 28, 73, 5, Studio 8Alison GardensWest BeverleyviewHS4 7BB, 5352416, RHU157@email.com, Steven O'Neill, [], Female, [], False, True, True, True, None, Chapel, True, True, False, [], [], [], [], [], [], 
158, A, X3507Y8484, 90, 97.25, 28, 47, 2, 78 Rose ForestWest MaryvilleS60 6XH, 7797787, RHU158@email.com, Julia Bennett-Evans, [], Male, [], False, False, True, True, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
159, C, X4383Y3203, 60, 60.50, 28, 59, 9, Studio 13yWilliams IslandsNorth VictorhavenKW00 5SH, 3535039, RHU159@email.com, Albert Lowe, [], Female, [], True, True, False, False, Bus, None, False, False, True, [], [], [], [], [], [], 
160, B, X2213Y6145, 90, 54.35, 28, 71, 3, Studio 50Young HarborNew AbdultownG0F 1AY, 6017249, RHU160@email.com, Mr Duncan Frost, [], Male, [], True, False, False, False, Bus, None, True, False, True, [], [], [], [], [], [], 
161, C, X8909Y7335, 90, 90.72, 28, 65, 6, 34 Hughes SpringsSouth JasonE1 5WB, 8730936, RHU161@email.com, Gerard Blake-Evans, [], Female, [], True, True, False, False, None, None, True, True, False, [], [], [], [], [], [], 
162, B, X644Y7805, 60, 27.51, 28, 45, 6, Studio 6Williams MountainsDavisfurtKA9 7QU, 8367683, RHU162@email.com, Mrs Paige King, [], Mixed, [], True, False, True, False, Rail, Prayer room, False, False, True, [], [], [], [], [], [], 
163, A, X3424Y7086, 60, 51.56, 28, 71, 4, 964 Toby TrailLake AlexL0 6LF, 3864302, RHU163@email.com, Guy Brown, [], Mixed, [], True, True, False, False, Rail, Chapel + Prayer room, True, True, True, [], [], [], [], [], [], 
164, A, X6090Y9375, 90, 76.99, 28, 51, 2, 487 Glenn LodgeLiamstadW7J 2PB, 3784900, RHU164@email.com, Brenda Hart, [], Male, [], False, False, False, False, Bus, None, True, True, False, [], [], [], [], [], [], 
165, D, X5093Y4790, 90, 26.56, 28, 40, 2, Studio 96Jones GatewayWest JoanneUB2 9XP, 2241717, RHU165@email.com, Max Chambers, [], Female, [], False, False, True, False, Bus, Chapel, False, True, True, [], [], [], [], [], [], 
166, C, X6234Y3361, 365, 56.92, 28, 58, 9, Flat 19Chelsea DriveJonestownCO2 4NB, 1617103, RHU166@email.com, Mark Bell, [], Female, [], True, False, True, False, None, Prayer room, False, False, False, [], [], [], [], [], [], 
167, A, X5678Y8167, 90, 90.6, 28, 60, 5, 4 Gibbons FlatsLake DerekburyE3F 7DQ, 6995917, RHU167@email.com, Heather Griffiths, [], Male, [], True, True, True, False, None, None, True, False, True, [], [], [], [], [], [], 
168, B, X9764Y5693, 60, 18.38, 28, 39, 1, 71 Matthews AvenueWest TracyhavenHD9P 1TB, 2032411, RHU168@email.com, Billy Campbell-Barlow, [], Male, [], False, True, True, False, None, Chapel, True, False, False, [], [], [], [], [], [], 
169, A, X5759Y4766, 90, 51.88, 28, 53, 3, Studio 7Sharon IslandEast KimberleyS48 2HY, 9356892, RHU169@email.com, Mr Shane Howells, [], Mixed, [], True, False, True, True, None, Chapel, True, False, False, [], [], [], [], [], [], 
170, D, X2859Y2189, 90, 13.40, 28, 41, 1, 567 Smith PinesNorth JoannahavenGL8W 9BT, 8563524, RHU170@email.com, Mr Terry Pearson, [], Mixed, [], True, True, False, True, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
171, B, X7153Y6457, 365, 22.30, 28, 42, 2, Flat 65vFrances ParkMalcolmtonSW22 3HW, 9984487, RHU171@email.com, Natasha Ryan, [], Female, [], True, True, False, False, Rail, Chapel, True, False, True, [], [], [], [], [], [], 
172, C, X7176Y8493, 365, 57.21, 28, 53, 6, 966 Hayes CoveLindamouthN5 4WU, 2679013, RHU172@email.com, Dr Jeremy Sykes, [], Male, [], True, False, False, False, Bus, Chapel, False, False, False, [], [], [], [], [], [], 
173, A, X2965Y532, 180, 28.98, 28, 71, 9, 5 Amelia GlensRobinsonlandM5U 9JH, 1360474, RHU173@email.com, Robin Coles-Morley, [], Female, [], True, True, True, True, None, Chapel, True, True, True, [], [], [], [], [], [], 
174, C, X2051Y3424, 180, 53.1, 28, 76, 9, 6 Clarke PortLake AnnetteBN2B 1DT, 1757064, RHU174@email.com, Benjamin Ferguson, [], Female, [], True, False, True, False, Rail, Prayer room, True, True, True, [], [], [], [], [], [], 
175, D, X3235Y5015, 180, 94.73, 28, 54, 8, 54 Clarke VillagesCarlfortUB6W 2NU, 6584512, RHU175@email.com, Catherine Griffin, [], Mixed, [], True, True, True, True, Rail + Bus, Chapel, False, True, False, [], [], [], [], [], [], 
176, B, X8206Y5330, 365, 94.56, 28, 68, 4, Flat 7Lynne SquaresWest JillboroughNE06 1JU, 7244094, RHU176@email.com, Miss Katy Jones, [], Female, [], True, True, True, True, None, None, True, False, False, [], [], [], [], [], [], 
177, C, X6357Y8624, 60, 82.48, 28, 49, 7, 03 Annette FallNew LeeN8 7QA, 6623837, RHU177@email.com, Maurice Davies-Thompson, [], Mixed, [], False, False, True, True, Rail, Prayer room, False, False, True, [], [], [], [], [], [], 
178, A, X3907Y2562, 180, 21.15, 28, 65, 3, 1 Lisa CreekRuthfurtLA65 2ZU, 3883717, RHU178@email.com, Maurice Martin, [], Female, [], False, False, False, False, Rail + Bus, Prayer room, True, True, True, [], [], [], [], [], [], 
179, D, X8315Y2675, 365, 33.71, 28, 61, 7, Flat 27Leanne PlazaNorth ElliotfortM0W 3UH, 5349701, RHU179@email.com, Jason Baker, [], Female, [], False, False, False, True, None, Prayer room, False, False, True, [], [], [], [], [], [], 
180, D, X8012Y1350, 180, 36.11, 28, 66, 2, Flat 0Williams TrailLake KatyshireL9 4DQ, 3984365, RHU180@email.com, Elizabeth Wyatt-Jennings, [], Mixed, [], False, True, False, True, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
181, B, X2952Y3617, 365, 35.44, 28, 43, 7, Studio 18BShane StreetSouth ReecesideW8 3EJ, 5304478, RHU181@email.com, Ms Christine Berry, [], Mixed, [], False, False, True, True, Rail + Bus, Prayer room, False, True, True, [], [], [], [], [], [], 
182, D, X9310Y277, 90, 94.61, 28, 42, 9, 18 Williams SquaresDeclanbergS1T 3TY, 7680190, RHU182@email.com, Jay Brooks, [], Mixed, [], False, False, True, False, Rail, Chapel, False, True, False, [], [], [], [], [], [], 
183, C, X8304Y655, 90, 86.13, 28, 70, 5, Flat 11Dunn PlainRachaelfortM4W 7LU, 2546054, RHU183@email.com, Aaron Bishop, [], Mixed, [], False, True, False, True, Rail + Bus, Prayer room, True, True, False, [], [], [], [], [], [], 
184, C, X6735Y7411, 60, 51.1, 28, 51, 9, Studio 09TDavies CoveWest PetertonN4 4HN, 2341533, RHU184@email.com, Dr Gail Hargreaves, [], Mixed, [], False, True, True, True, None, Chapel + Prayer room, True, False, True, [], [], [], [], [], [], 
185, A, X3936Y3554, 365, 75.73, 28, 76, 3, 53 Sam ForkHenrylandDY22 1PP, 3423370, RHU185@email.com, Jasmine Anderson-Patel, [], Female, [], True, False, False, False, None, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
186, A, X9644Y2771, 180, 43.16, 28, 57, 5, 60 Dixon TunnelMorgansideM1B 5EE, 7172021, RHU186@email.com, Liam Yates-Young, [], Male, [], True, True, True, True, Rail + Bus, None, True, True, False, [], [], [], [], [], [], 
187, C, X8281Y6158, 180, 78.79, 28, 51, 8, 87 Leslie AlleyBegumviewB7C 2WL, 9209579, RHU187@email.com, Mr Mohammad Young, [], Mixed, [], True, True, True, True, None, Chapel, False, False, False, [], [], [], [], [], [], 
188, A, X7992Y9612, 60, 45.91, 28, 54, 10, 3 Spencer CirclesWest MandylandCO52 6BP, 7336879, RHU188@email.com, Alex Frost, [], Male, [], True, False, True, False, None, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
189, A, X6429Y3814, 60, 92.31, 28, 57, 1, 06 Jones PlainCarrollmouthCF21 4QR, 4601392, RHU189@email.com, Shannon Cooper, [], Mixed, [], False, False, False, True, Rail, None, True, True, False, [], [], [], [], [], [], 
190, C, X2449Y2650, 180, 49.92, 28, 72, 1, 8 Michael WayDeclanvilleLE0W 4HU, 6360826, RHU190@email.com, Mrs Joanne Nicholson, [], Female, [], True, False, False, False, Rail, Chapel, False, False, True, [], [], [], [], [], [], 
191, C, X3644Y3096, 60, 17.37, 28, 56, 8, Flat 4Richardson RoadsJadetownRG59 8GQ, 3096174, RHU191@email.com, Jane Talbot-Patel, [], Mixed, [], True, True, False, False, None, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
192, B, X1333Y509, 365, 58.98, 28, 63, 9, Studio 04Shannon HarborNorth AnnetteburghLD68 4GX, 2644846, RHU192@email.com, Ms Lorraine Mitchell, [], Male, [], False, True, False, False, Rail + Bus, Chapel + Prayer room, True, False, False, [], [], [], [], [], [], 
193, B, X264Y6368, 180, 100.48, 28, 44, 3, Studio 78Smith TrackEast ConnorportW3 2QA, 1192613, RHU193@email.com, Amanda Turner, [], Mixed, [], True, False, True, True, Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
194, C, X7273Y1640, 180, 18.98, 28, 49, 3, 1 Thomas MissionJonathanfortTN08 2HH, 5439551, RHU194@email.com, Jamie Collins, [], Mixed, [], True, False, True, False, None, Prayer room, False, False, False, [], [], [], [], [], [], 
195, B, X5054Y1529, 90, 26.7, 28, 44, 1, Flat 73qLynch DaleNorth ChloemouthMK0 0WX, 8046536, RHU195@email.com, Jeremy Davies, [], Male, [], False, True, False, True, Bus, Chapel + Prayer room, False, True, True, [], [], [], [], [], [], 
196, B, X1253Y6328, 180, 46.18, 28, 73, 7, Flat 1Naomi LodgeLake TonyS9 8FS, 1173518, RHU196@email.com, Dr Thomas Gray, [], Male, [], False, False, True, False, Bus, Chapel + Prayer room, True, False, True, [], [], [], [], [], [], 
197, C, X6748Y556, 180, 75.84, 28, 52, 1, 1 Wright AlleyGuyviewLL89 6HQ, 4401792, RHU197@email.com, Mr Nigel Smith, [], Male, [], False, True, False, True, Bus, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
198, A, X4010Y6169, 60, 34.12, 28, 67, 3, Studio 9Eleanor MewsCarolemouthLL64 1WJ, 7153969, RHU198@email.com, Rita Taylor, [], Female, [], True, True, True, False, Rail, None, False, True, True, [], [], [], [], [], [], 
199, A, X3044Y5646, 365, 59.55, 28, 48, 6, Flat 9Davies GatewayNorth GlennN6 8WY, 1744390, RHU199@email.com, Christine Jenkins, [], Mixed, [], False, True, False, True, Rail + Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
